NationalMembers,Cat,NumberofMembersMaleFemaleTotal,Male,Female,Total,PofmembersMaleFemale,MaleP,FemaleP,Pmembers,Pwomen
Philippines,I,516,5,1,6, 83.00 16.00, 83.00, 16.00,0.04, 0.01
Poland,IV,15031181,150,31,181, 82.00 17.00, 82.00, 17.00,1.34, 0.23
Portugal,II,591877,59,18,77, 76.00 23.00, 76.00, 23.00,0.57, 0.13
Romania,I,251439,25,14,39, 64.00 35.00, 64.00, 35.00,0.29, 0.10
Russian Federation,V,374102476,374,102,476, 78.00 21.00, 78.00, 21.00,3.52, 0.75
Saudi Arabia,Suspended,12012,12,0,12, 100.00 0.00, 100.00, 0.00,0.09, 0.00
Serbia,I,402060,40,20,60, 66.00 33.00, 66.00, 33.00,0.44, 0.15
Slovakia,I,42345,42,3,45, 93.00 6.00, 93.00, 6.00,0.33, 0.02
Slovenia,I,7310,7,3,10, 70.00 30.00, 70.00, 30.00,0.07, 0.02
South Africa,III,10332135,103,32,135, 76.00 23.00, 76.00, 23.00,1.00, 0.24
Spain,IV,31880398,318,80,398, 79.00 20.00, 79.00, 20.00,2.94, 0.59
Sweden,III,13722159,137,22,159, 86.00 13.00, 86.00, 13.00,1.18, 0.16
Switzerland,III,12719146,127,19,146, 86.00 13.00, 86.00, 13.00,1.08, 0.14
Syrian Arab Republic,Observer,202,2,0,2, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Tajikistan,I,718,7,1,8, 87.00 12.00, 87.00, 12.00,0.06, 0.01
Thailand,I,271542,27,15,42, 64.00 35.00, 64.00, 35.00,0.31, 0.11
Turkey,I,662793,66,27,93, 70.00 29.00, 70.00, 29.00,0.69, 0.20
Ukraine,III,12857185,128,57,185, 69.00 30.00, 69.00, 30.00,1.37, 0.42
United Arab Emirates,II,718,7,1,8, 87.00 12.00, 87.00, 12.00,0.06, 0.01
United Kingdom,VII,636109745,636,109,745, 85.00 14.00, 85.00, 14.00,5.51, 0.81
United States,X,25254943019,2525,494,3019, 83.00 16.00, 83.00, 16.00,22.31, 3.65
Uruguay,Observer,415,4,1,5, 80.00 20.00, 80.00, 20.00,0.04, 0.01
Uzbekistan,Terminated,909,9,0,9, 100.00 0.00, 100.00, 0.00,0.07, 0.00
Vatican City State,I,12012,12,0,12, 100.00 0.00, 100.00, 0.00,0.09, 0.00
Venezuela,I,14721,14,7,21, 66.00 33.00, 66.00, 33.00,0.16, 0.05
Vietnam,Interim,8513,8,5,13, 61.00 38.00, 61.00, 38.00,0.10, 0.04
Albania,O,011,0,1,1, 0.00 100.00, 0.00, 100.00,0.01, 0.01
Andorra,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Angola ,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Bangladesh,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Ecuador,O,112,1,1,2, 50.00 50.00, 50.00, 50.00,0.01, 0.01
Iraq,O,707,7,0,7, 100.00 0.00, 100.00, 0.00,0.05, 0.00
Luxembourg,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Malta,O,202,2,0,2, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Mauritius,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Oman,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Pakistan,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Palestine,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Puerto Rico,O,011,0,1,1, 0.00 100.00, 0.00, 100.00,0.01, 0.01
Singapore,O,202,2,0,2, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Sri Lanka,O,202,2,0,2, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Trinidad,O,011,0,1,1, 0.00 100.00, 0.00, 100.00,0.01, 0.01
Tunisia,O,112,1,1,2, 50.00 50.00, 50.00, 50.00,0.01, 0.01
